Question,Answer
کیا پاکستان میں فلم انڈسٹری ہے؟,لالی ووڈ پاکستان میں مقبول فلم صنعت ہے
پاکستان کی قومی لباس؟,پاکستان میں قومی لباس سلور کامز ہے
پاکستان کی پچھلی دارالحکومت کا نام؟,کراچی پاکستان کی پچھلی دارالحکومت تھی
پاکستان کی پچھلی دارالحکومت؟,کراچی پاکستان کی پچھلی دارالحکومت تھی
پاکستان کی پچھلی سرمایہ کاری کیا تھی؟,کراچی پاکستان کی پچھلی دارالحکومت تھی
پاکستان کا مطلب؟,پاکستان کا معنی ہے اللہ تعالی
پاک کا مطلب کیا ہے؟,پاکستان کا معنی ہے اللہ تعالی
صوبوں میں پاکستان,پاکستان میں چار صوبوں ہیں
کیا پاکستان میں فلم انڈسٹری ہے؟,ہاں لالی ووڈ فلم کی صنعت ہے
پاکستان ایک ایٹمی طاقت ہے,ہاں پاکستان ایک ایٹمی ملک ہے
وہاں پاکستان میں انسان ہیں,تو کیا آپ کو لگتا ہے کہ پاکستان کیا ہے؟ مریخ.
پاکستان توانائی بحران میں ہے,ہاں یہ توانائی بحران میں ہے
جس نے پاکستان کے لئے جوہری بم بنایا؟,ڈاکٹر عبدالقدیر خان نے پاکستان کیلئے جوہری بم پیدا کیا
پاکستان میں کتنے انسان ہیں,آپ آبادی کا مطلب ہے؟
پاکستان کا کیا مطلب ہے؟,پاکستان کا معنی ہے اللہ تعالی
ایچ ای سی ہیڈ دفتر کہاں ہے؟,ایچ ای سی ہیڈ دفتر اسلام آباد میں واقع ہے
سب سے بڑا کپاس پیدا کرنے والے شہر؟,حیدرآباد کا سب سے بڑا کپاس کی پیداوار شہر ہے
سب سے بڑا کپاس پیدا کرنے والے شہر کا نام؟,حیدرآباد کا سب سے بڑا کپاس کی پیداوار شہر ہے
کونسا شہر سب سے بڑا کپاس پیدا کرتا ہے؟,حیدرآباد کا سب سے بڑا کپاس کی پیداوار شہر ہے
کیا کراچی ایک شخص ہے؟,تم میرے ساتھ مذاق کر رہے ہو
پاکستان میں طاقت,پاکستان میں بجلی کی نازک صورتحال میں ہے
پاکستان کے قومی ہیرو,قائد اعظم آزاد پاکستان کے قومی ہیرو ہیں
پاکستان اگلے سلکان وادی ہو گا,آپ کو آپ کے سوال کو بہتر بنانے کی ضرورت ہے
gilgit کا مقام؟,گلگت گلگت بلتستان کا دارالحکومت ہے
گلگت کونسل میں ہے؟,گلگت گلگت بلتستان کا دارالحکومت ہے
گلگت کہاں ہے,گلگت گلگت بلتستان کا دارالحکومت ہے
بھوکستان کا دارالحکومت؟,کوئٹہ کوئٹہ ہے
بھوکستان کے دارالحکومت کا نام,کوئٹہ کوئٹہ ہے
بلوچستان کے دارالحکومت کا نام کیا ہے؟,کوئٹہ کوئٹہ ہے
پاکستان کی پہلی خاتون وزیر اعظم کا نام؟,بے نظیر بھٹو پہلی خاتون وزیراعظم تھے
پہلی خاتون وزیر اعظم کون تھے؟,بے نظیر بھٹو پہلی خاتون وزیراعظم تھے
پاکستان کی پہلی خاتون وزیر اعظم؟,بے نظیر بھٹو پہلی خاتون وزیراعظم تھے
پاکستان میں کوئی ویڈیو گیم انڈسٹری کیوں نہیں ہے؟,ہاں بہت سے ویڈیو گیم صنعت ہے.
مغربوں نے پاکستان میں کیسے داخل کیا,مغل افغانستان سے پاکستان میں داخل
پاکستان میں سیاحت کے لئے کہاں جانا ہے,آپ گلگت پر جائیں گے
پاکستان میں مقبول ترین تاریخی جگہ؟,پاکستان میں تاریخی جگہ ہارپا اور موہنجو ڈارون ہے
لہر کہاں ہے,لاہور پنجاب میں ہے
پاکستان سال میں جوہری ملک بن گیا؟,پاکستان 28 مئی، 1998 میں ایک جوہری طاقت بن گیا
جب پاکستان نے جوہری ملک بن گیا,پاکستان 28 مئی، 1998 میں ایک جوہری طاقت بن گیا
پاکستان میں تاریخی مقامات,پاکستان میں بہت سے تاریخی مقامات موجود ہیں
پاکستان میں منشیات ہیں,ہاں پاکستان میں منشیات ہیں
پاکستان کا بہترین کرکٹر,عمران خان پاکستان کا بہترین کرکٹر ہے
پاکستان کا سب سے بہترین کرکٹر,عمران خان پاکستان کا بہترین کرکٹر ہے
پاکستان کے جغرافیایی مقام؟,پاکستان جنوب مشرقی ایشیا میں واقع ہے
پاکستان کہاں ہے,پاکستان جنوب مشرقی ایشیا میں واقع ہے
پاکستان کا جغرافیایی مقام کیا ہے,پاکستان جنوب مشرقی ایشیا میں واقع ہے
نائٹل کیا ہے؟,پاکستان میں نئی ​​ابھرتی ہوئی آئی ایس پی ہے
نائٹل '؟,پاکستان میں نئی ​​ابھرتی ہوئی آئی ایس پی ہے
قائداعظم کہاں پیدا ہوا تھا؟,جناح بن کراچی میں پیدا ہوا تھا
جناح پیدا ہوا تھا کہاں؟,جناح بن کراچی میں پیدا ہوا تھا
پاکستان میں سیاحت کے مقامات کا نام؟,شمالی علاقوں، ناران کگن پاکستان میں اہم سیاحت کے مقامات ہیں
پاکستان میں سیاحت کے لئے بہترین جگہ؟,شمالی علاقوں، ناران کگن پاکستان میں اہم سیاحت کے مقامات ہیں
پاکستان میں سیاحت کے مقامات,شمالی علاقوں، ناران کگن پاکستان میں اہم سیاحت کے مقامات ہیں
پاکستان میں فٹ بال,فٹ بال پاکستان میں دوسرا پسندیدہ کھیل ہے
پاکستان کے قومی پرندوں,چاکور پاکستان کی قومی نسل ہے
امیر خان کون ہے؟,عمران خان فی الحال پی ٹی آئی پارٹی کے چیئرمین ہیں
کیا تم کرکٹ کھیلتے ہو؟,میں کرکٹ کھیلنے نہیں دیتا
تم کرکٹ کس طرح کھیلتے ہو,میں کرکٹ کھیلنے نہیں دیتا
پاکستان میں مشہور بینکوں کا نام؟,HSBC بینک، ال فلاہ بینک
پاکستان میں مشہور بینکوں کیا ہیں؟,HSBC بینک، ال فلاہ بینک
پاکستان میں سب سے زیادہ مشہور بینکوں,HSBC بینک، ال فلاہ بینک
پاکستان کے داخلہ وزیر کا نام؟,احسن اقبال پاکستان کا موجودہ وزیر داخلہ ہے
پاکستان کے داخلہ وزیر,احسن اقبال پاکستان کا موجودہ وزیر داخلہ ہے
پاکستان کا دارالحکومت کیا ہے,اسلام آباد
گورنر جنرل,اپنے سوال کو بہتر بنائیں
پاکستان کی بدعات کیا ہیں؟,آپ کا سوال واضح نہیں ہے
پاکستان پرچم کا رنگ؟,پاکستان کا رنگ سبز اور سفید ہے
پاکستان کے پرچم کا رنگ کیا ہے؟,پاکستان کا رنگ سبز اور سفید ہے
پاکستان میں اہم دریاؤں؟,جہلم، سچل، چناب، سندھ اور راوی
جو پاکستان کا وزیراعظم ہے,شاہد خاق اباسد پاکستان کے موجودہ وزیراعظم ہیں
پاکستان میں سب سے بڑا ڈیم,تربایل ڈیم سب سے بڑی ڈیم ہے
پاکستان کا قومی رنگ؟,پاکستان کا قومی رنگ سبز ہے
پاکستان کے قومی رنگ کا نام؟,پاکستان کا قومی رنگ سبز ہے
پاکستان کا قومی رنگ کیا ہے؟,پاکستان کا قومی رنگ سبز ہے
پاکستان اور افغانستان کے درمیان دوستی؟,ہاں پاکستان افغانستان کے ساتھ دوست ہے
پاکستان کے ساتھ افغانستان دوست ہے,ہاں پاکستان افغانستان کے ساتھ دوست ہے
پاکستان کا سب سے خوبصورت شہر کا نام؟,اسلام آباد پاکستان کا سب سے خوبصورت شہر ہے
پاکستان کا سب سے خوبصورت شہر؟,اسلام آباد پاکستان کا سب سے خوبصورت شہر ہے
جو پاکستان کا سب سے خوبصورت شہر ہے,اسلام آباد پاکستان کا سب سے خوبصورت شہر ہے
پاکستان کیا ہے؟,پاکستان ایک ملک ہے
پاکستان کا براعظم؟,پاکستان آسیا کے کنارے سے تعلق رکھتے ہیں
پاکستان کا براعظم کیا ہے؟,پاکستان آسیا کے کنارے سے تعلق رکھتے ہیں
پاکستان کونسا براعظم ہے؟,پاکستان آسیا کے کنارے سے تعلق رکھتے ہیں
پاکستان کا خارجہ وزیر کا نام,خواجہ محمد آصف موجودہ وزیر خارجہ ہیں
پاکستان کا خارجہ وزیر؟,خواجہ محمد آصف موجودہ وزیر خارجہ ہیں
پاکستان کا خارجہ وزیر کون ہے؟,خواجہ محمد آصف موجودہ وزیر خارجہ ہیں
پاکستان کی زبانیں کیا ہیں؟,پاکستان میں بہت سی زبانیں ہیں
پاکستان میں جدید افراد؟,مجھ نہیں پتہ
پاکستان میں فٹ بال کی بڑھتی ہوئی,اتنا بھی نہیں
پاکستان میں فٹ بال بڑھ رہا ہے,اتنا بھی نہیں
پاکستان میں حکومت مستحکم ہے؟,حکومت پاکستان میں مستحکم نہیں ہے
پاکستان میں ڈاکٹروں کی تعداد؟,110،000 ڈاکٹروں نے پاکستان میں رجسٹرڈ کیا ہے
پاکستان میں ڈاکٹروں کی کل تعداد؟,110،000 ڈاکٹروں نے پاکستان میں رجسٹرڈ کیا ہے
پاکستان میں کتنے ڈاکٹر ہیں؟,110،000 ڈاکٹروں نے پاکستان میں رجسٹرڈ کیا ہے
پاکستان نے کرکٹ ورلڈ سیپ جیت لیا,پاکستان نے ایک وقت کے لئے عالمی کپ جیت لیا
پاکستان کتنے بار کرکٹ ورلڈ کپ جیت گیا,پاکستان نے ایک وقت کے لئے عالمی کپ جیت لیا
پاکستان میں سب سے مشہور لڑکی کا نام,مجھے لڑکیوں میں دلچسپی نہیں ہے
پاکستان میں پاکستان ہے؟,ہاں پاکستان اقوام متحدہ کا حصہ ہے
کیا پاکستان یو این کا حصہ ہے؟,ہاں پاکستان اقوام متحدہ کا حصہ ہے
پاکستان کے سب سے مشہور گلوکار کا نام؟,نصرت فتح علی خان پاکستان کا سب سے مشہور گلوکار ہے
سب سے مشہور گلوکار کون ہے؟,نصرت فتح علی خان پاکستان کا سب سے مشہور گلوکار ہے
سب سے مشہور گلوکار؟,نصرت فتح علی خان پاکستان کا سب سے مشہور گلوکار ہے
ایچ ای سی کی طرف سے حال ہی میں ترمیم,یہ بہت سخت سوال ہے، اگرچہ آپ اسے گوگل کر سکتے ہیں
ایچ ای سی کی طرف سے متعارف کرایأ حالیہ ترمیم کیا ہیں؟,یہ بہت سخت سوال ہے، اگرچہ آپ اسے گوگل کر سکتے ہیں
پاکستان کا قومی کھیل؟,ہاکی
جب پاکستان اپنی توانائی کی کریڈٹ پر قابو پائے گا,اندازہ لگایا گیا ہے کہ یہ 2025 میں آ جائے گا
کرکٹ ٹیم کے کپتان کا نام؟,سرفراز احمد پاکستان کرکٹ ٹیم کے موجودہ کپتان ہیں
پاکستان کرکٹ ٹیم کے کپتان؟,سرفراز احمد پاکستان کرکٹ ٹیم کے موجودہ کپتان ہیں
پاکستان کرکٹ کے موجودہ کپتان کون ہے,سرفراز احمد پاکستان کرکٹ ٹیم کے موجودہ کپتان ہیں
روزہ یونیورسٹی کی درجہ بندی,فاسٹ یونیورسٹی نے 2017 میں 6 ویں درجہ بندی کی
فاسٹ یونیورسٹی کی درجہ بندی 2017,فاسٹ یونیورسٹی نے 2017 میں 6 ویں درجہ بندی کی
پاکستان میں کشمیر ہے؟,ہاں آزاد کشمیر پاکستان کا حصہ ہے
کیا پاکستان کا کشمیر کا حصہ ہے؟,ہاں آزاد کشمیر پاکستان کا حصہ ہے
آرٹیکل 2-ب میں تحلیل کیا گیا ہے؟,یہ سوال میرے علم سے باہر ہے
آرٹیکل 2-ب کب تحلیل کیا گیا تھا؟,یہ سوال میرے علم سے باہر ہے
پاکستان کے ساتھ تعلقات تعلقات؟,ایران کے ساتھ پاکستان کے تعلقات کا آغاز بہت اچھا ہے
پاکستان اور ایران کا تعلق,ایران کے ساتھ پاکستان کے تعلقات کا آغاز بہت اچھا ہے
ایران سے تعلقات کیسے ہیں؟,ایران کے ساتھ پاکستان کے تعلقات کا آغاز بہت اچھا ہے
پاکستان کی مقامی زبانوں؟,آپ کو مخصوص ہونا ضروری ہے
پاکستان میں اہم سیاسی جماعتوں کا نام؟,مقبول جماعتیں ہیں: پی ٹی آئی، پی پی پی، پی ایم ایل این اور ایم ق. ایم
اہم سیاسی جماعتیں کیا ہیں؟,مقبول جماعتیں ہیں: پی ٹی آئی، پی پی پی، پی ایم ایل این اور ایم ق. ایم
پاکستان کی سیاسی جماعتیں,مقبول جماعتیں ہیں: پی ٹی آئی، پی پی پی، پی ایم ایل این اور ایم ق. ایم
پاکستانی فوج کی طاقت؟,پاکستان میں فوج کی قوت طاقتور ہے
ایران پاکستان اور سڈو کے درمیان مہلک مثلث کی وضاحت,گوگل اسے
پاکستان کا براعظم کیا ہے,ایشیا
کیری کی آبادی کیا ہے؟,کاراکی کا مقبول 21.2 ملین ہے
کراچی کا آبادی,کاراکی کا مقبول 21.2 ملین ہے
مجھ سے سوال پوچھو؟,نہیں میرا کام سوال کا جواب دینا ہے
ذوالفقار علی بھٹو تھا اسلامی دنیا کے یونٹ کے لئے ذمہ دار,ہاں وہ اس کے ذمہ دار ہے
پاکستان میں برآمد کی صورتحال؟,پاکستان کی برآمد شرح کم ہے
پاکستان میں برآمد کی شرح کیا ہے,پاکستان کی برآمد شرح کم ہے
پاکستان میں بہترین میڈیکل یونیورسٹی کا نام؟,آغا خان یونیورسٹی پاکستان میں بہترین میڈیکل یونیورسٹی میں سے ایک ہے
پاکستان میں بہترین میڈیکل یونیورسٹی؟,آغا خان یونیورسٹی پاکستان میں بہترین میڈیکل یونیورسٹی میں سے ایک ہے
پاکستان میں بہترین میڈیکل یونیورسٹی کیا ہے؟,آغا خان یونیورسٹی پاکستان میں بہترین میڈیکل یونیورسٹی میں سے ایک ہے
چنگا منگنگ میں واقع ہے؟,چنگا منگا قاسب کے قصور اور لہور ضلع میں ہے
چنگا منگنگ کا مقام,چنگا منگا قاسب کے قصور اور لہور ضلع میں ہے
چنگا منگا کہاں ہے؟,چنگا منگا قاسب کے قصور اور لہور ضلع میں ہے
پاکستان کے 5 مقبول شہریں کیا ہیں؟,اسلام آباد، کراچی، لاہور، پشاور، کوئٹہ
پاکستان کے پانچ مقبول شہر,اسلام آباد، کراچی، لاہور، پشاور، کوئٹہ
پاکستان کے 5 مقبول شہروں کا نام,اسلام آباد، کراچی، لاہور، پشاور، کوئٹہ
آئین میں سیکشن 109 کیا ہے,یہ میرے علم میں نہیں ہے
پاکستان کی آبادی کیا ہے؟,پاکستان کی آبادی تقریبا 22 کروڑ ہے
پاکستان ترقی کر رہا ہے,ہاں پاکستان ترقی کر رہا ہے لیکن آہستہ آہستہ
پاکستان واقعی ترقی کر رہا ہے,ہاں پاکستان ترقی کر رہا ہے لیکن آہستہ آہستہ
پاکستان کے موجودہ آئین,پاکستان کے موجودہ آئین کو 1973 میں منظور کیا گیا تھا
جس سال آئین منظور ہو گیا ہے,پاکستان کے موجودہ آئین کو 1973 میں منظور کیا گیا تھا
پاکستان کے قوانین,پاکستان کے موجودہ آئین کو 1973 میں منظور کیا گیا تھا
پاکستان کا قومی گانا,آپ کا مطلب قومی گندگی ہے
پاکستان میں بین الاقوامی کرکٹ کی پابندی,یہ 2009 میں پابندی عائد کی گئی تھی
پاکستان میں بین الاقوامی کرکٹ کب منعقد ہوا تھا,یہ 2009 میں پابندی عائد کی گئی تھی
پاکستان میں سب سے زیادہ چوٹی کا نام,پاکستان میں سب سے زیادہ چوٹی K2 ہے
پاکستان میں سب سے زیادہ چوٹی ہے,پاکستان میں سب سے زیادہ چوٹی K2 ہے
پاکستان میں سب سے زیادہ چوٹی؟,پاکستان میں سب سے زیادہ چوٹی K2 ہے
پاکستان جو دفاع وزیر ہے,خرم دستکاری خان پاکستان کے موجودہ دفاع وزیر ہیں
پاکستان کا دفاع وزیر کا نام,خرم دستکاری خان پاکستان کے موجودہ دفاع وزیر ہیں
دفاعی وزیر پاکستان؟,خرم دستکاری خان پاکستان کے موجودہ دفاع وزیر ہیں
پاکستان میں نمک کی بارودی سرنگوں کا مقام,کوہارا میں نمک مائن واقع ہے
نمک میرا پاکستان کہاں واقع ہے,کوہارا میں نمک مائن واقع ہے
جہاں نمکین کی کانوں میں واقع ہے,کوہارا میں نمک مائن واقع ہے
پاکستان میں سیاحت,پاکستان میں سیاحت بڑھ رہی ہے
پاکستان میں غیر ملکی وزیر کا نام,خواجہ محمد آصف موجودہ وزیر خارجہ ہیں
پاکستان کا خارجہ وزیر؟,خواجہ محمد آصف موجودہ وزیر خارجہ ہیں
خارجہ وزیر کون ہے؟,خواجہ محمد آصف موجودہ وزیر خارجہ ہیں
پاکستان میں درآمد,جسے آپ درآمد کرتے ہیں اس کے بارے میں پوچھ رہے ہیں؟
پاکستان میں فوجی رژیم کی تعداد,پاکستان اب تک چار فوجی رژیم ہے
پاکستان کی تاریخ میں فوجی رژیم,پاکستان اب تک چار فوجی رژیم ہے
پاکستان میں فوج کے کتنے فوجی ہیں,پاکستان اب تک چار فوجی رژیم ہے
کیا عمران خان نے کے پی کے K میں کوئی تبدیلی لایا ہے؟,ہاں عمران خان نے K پی کے ک میں کئی تبدیلیوں کو خریدا
پاکستان میں سیاحت کا دورہ,پاکستان میں سیاحت کا جذبہ پاکستان کیلئے اچھا ہے
سالور کامز کیا ہے,شلوارکمیز پاکستان کا قومی لباس ہے
پاکستان میں مقبول بیماریوں,ڈینگی پاکستان میں مقبول بیماری ہے
پاکستان میں بیماریوں,ڈینگی پاکستان میں مقبول بیماری ہے
پاکستان کی قومی نعرہ؟,پاکستان جند آباد
پاکستان کا نعرہ,پاکستان جند آباد
پاکستان کی قومی نعرہ کیا ہے؟,پاکستان جند آباد
سندھ میں سیاحت,سندھ میں سیاحت اچھا ہے
پاکستان میں سب سے بڑا صحرا,تھر پاکستان میں سب سے بڑا صحرا ہے
پاکستان میں سب سے بڑا صحرا کا نام,تھر پاکستان میں سب سے بڑا صحرا ہے
پاکستان کی شہادت,تھر پاکستان میں سب سے بڑا صحرا ہے
ایچ ای سی کے لئے کھڑا ہے؟,ایچ ای سی اعلی تعلیم کمیشن کے لئے کھڑا ہے
H ای سی کیا ہے کے لئے کھڑا ہے,ایچ ای سی اعلی تعلیم کمیشن کے لئے کھڑا ہے
پنجاب کہاں ہے,پنجاب پاکستان میں ہے
کراچی میں بہترین سیاحتی مقام,کلفٹن ساحل پاکستان میں اچھا سیاحتی مقام ہے
کراچی میں سیاحت,کلفٹن ساحل پاکستان میں اچھا سیاحتی مقام ہے
جو پاکستان کا سب سے بڑا صوبہ ہے,پنجاب پنجاب کا سب سے بڑا صوبہ ہے
پاکستان کے نوبل انعام جیتنے والے؟,صرف دو لوگوں نے نوبل انعام جیت لیا
پاکستان میں کتنے لوگوں نے نوبل انعام جیت لیا ہے,صرف دو لوگوں نے نوبل انعام جیت لیا
پاکستان میں آبادی,پاکستان کی آبادی تقریبا 22 کروڑ ہے
پاکستان کے قومی شاعر,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان کی خوراک,برہانی پاکستان کا مشہور کھانا ہے
جو پاکستان میں گونگا ہے,آپ پاکستان میں گونگا ہیں
پاکستان کے آسکر فاتح؟,شرمین عبید پاکستانی آسکر فاتح ہے
پاکستان سے آسکر فاتح کا نام؟,شرمین عبید پاکستانی آسکر فاتح ہے
کیا کسی پاکستانی نے آسکر جیت لیا؟,شرمین عبید پاکستانی آسکر فاتح ہے
جو پاکستان کا نوبل انعام جیتنے والے ہیں,ڈاکٹر عبدالسلام اور ملالہ آپفزئی نوبل انعام جیتنے والے ہیں
پاکستان سے نوبل انعام جیتنے والوں کا نام,ڈاکٹر عبدالسلام اور ملالہ آپفزئی نوبل انعام جیتنے والے ہیں
بین الاقوامی بینک پر پاکستان کا قرض,پاکستان 14.7 بلین ڈالر کا قرض ہے
پاکستان بین الاقوامی بینک کو کتنا قرض ادا کرتا ہے؟,پاکستان 14.7 بلین ڈالر کا قرض ہے
پاکستان ایشیا کا حصہ ہے یہ سچ ہے,ہاں پاکستان ایشیا میں ہے
پلاٹینم کا مطلب ہے,پلاٹینم کا مطلب 25 سال ہے
پلاٹینم کا کیا مطلب ہے,پلاٹینم کا مطلب 25 سال ہے
پکنک کہاں جاتا ہے,پکنک کے لئے شمالی علاقوں کی بہترین جگہ ہے
پاکستان کے قومی پھل کا نام کیا ہے؟,آم پاکستان کے قومی پھل ہے
پاکستان کے صوبوں کا نام؟,پنجاب، سندھ، بلوچستان اور کے پی پی کے
پاکستان میں کتنے زبانیں بولی جاتی ہیں؟,پاکستان میں بہت سے زبانیں بولی جاتی ہیں
پاکستان کے کتنے صوبے ہیں؟,پاکستان میں چار صوبوں ہیں
پاکستان کا سب سے بڑا صوبہ؟,پنجاب پنجاب کا سب سے بڑا صوبہ ہے
پیسے کی وجہ سے مجھے پیار ہے,آپ ایک مادیاتی شخص ہیں
پاکستان کے قومی کھیل؟,ہاکی پاکستان کا قومی کھیل ہے
دفاع وزیر,خرم دستکاری خان پاکستان کے موجودہ دفاع وزیر ہیں
پاکستان کے قومی پھول؟,جوسمین پاکستان کا قومی پھول ہے
پاکستان کا توانائی بحران کیا ہے؟,پاکستان میں لوڈ شیڈنگ سب سے بڑی مسئلہ ہے
اس آباد آباد کی آبادی,اسلام آباد کی آبادی 1.152 ملین ہے
پاکستان کا وزیر تعلیم کون ہے؟,محمد بلب الرحمان
پاکستان کے وزیر تعلیم کا نام,محمد بلب الرحمان
پاکستان کی تعلیم وزیر,محمد بلب الرحمان
پاکستان کا قومی جانور کیا ہے؟,مارخور پاکستان کا قومی جانور ہے
پاکستان میں آبادی کی طرف سے سب سے بڑا شہر؟,کراچی
